       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT(Collins)            A_UT   dA_UT(Sivers)
        0.6         0.7         0.6         0.7         0.2         0.4      0.62889      9.1716     0.63312     0.29644    0.053857          0.040277         0.00388         0.040388
        0.2         0.3         0.6         0.7         0.4         0.6      0.27816      4.6893     0.63338     0.55129    0.030379          0.072794       -0.031333         0.072837
        0.3         0.4         0.6         0.7         0.4         0.6      0.35593      5.8314     0.64028      0.5173    0.040105          0.022461       -0.011132          0.02244
        0.4         0.5         0.6         0.7         0.4         0.6      0.44748       7.058     0.64306     0.50124    0.053543          0.018041      0.00077816         0.018091
        0.5         0.6         0.6         0.7         0.4         0.6      0.54247      8.2028     0.64173     0.49402    0.068953          0.022162       0.0054311           0.0221
        0.2         0.3         0.6         0.7         0.6         0.8      0.25899      4.5001     0.63917     0.71362    0.029987          0.023814       -0.040499         0.023855
        0.3         0.4         0.6         0.7         0.6         0.8      0.34809      5.7988     0.64334     0.69516    0.045747          0.017687       -0.013951         0.017657
        0.4         0.5         0.6         0.7         0.6         0.8       0.4449      7.0649     0.64427     0.69068    0.065392          0.019767      0.00098814         0.019801
        0.5         0.6         0.6         0.7         0.6         0.8      0.53221      8.2016     0.63651     0.67538    0.080846          0.033822       0.0055986         0.034044
        0.1         0.2         0.6         0.7         0.8           1      0.17506      3.1859     0.64044     0.90086     0.01839           0.03956       -0.071116         0.039712
        0.2         0.3         0.6         0.7         0.8           1      0.24941      4.3897     0.64402     0.88994    0.030282           0.02072       -0.044925         0.020668
        0.3         0.4         0.6         0.7         0.8           1      0.34583       5.788     0.64509     0.88604    0.050047          0.022171       -0.015025         0.022137
        0.4         0.5         0.6         0.7         0.8           1      0.43836      7.0511     0.64266     0.87385    0.069541          0.031884      8.9093e-05         0.031847
        0.1         0.2         0.6         0.7           1         1.2       0.1723      3.1426     0.64556      1.0841    0.018395          0.044115       -0.069303         0.044302
        0.2         0.3         0.6         0.7           1         1.2      0.24737       4.365     0.64631      1.0817    0.030636          0.029203       -0.044296          0.02918
        0.3         0.4         0.6         0.7           1         1.2      0.34052      5.7501     0.64537      1.0716      0.0494          0.039126       -0.015991         0.039104
