     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1288     0.000     0.000     0.000     0.000     0.000        0     0.000
     1289     0.000     0.000     0.000     0.000     0.000        0     0.000
     1290     0.000     0.000     0.000     0.000     0.000        0     0.000
     1291     0.000     0.000     0.000     0.000     0.000        0     0.000
     1292     0.000     0.000     0.000     0.000     0.000        0     0.000
     1293     0.000     0.000     0.000     0.000     0.000        0     0.000
     1294     0.000     0.000     0.000     0.000     0.000        0     0.000
     1295     0.000     0.000     0.000     0.000     0.000        0     0.000
     1296     0.000     0.000     0.000     0.000     0.000        0     0.000
     1297     0.000     0.000     0.000     0.000     0.000        0     0.000
     1298     0.000     0.000     0.000     0.000     0.000        0     0.000
     1299     0.000     0.000     0.000     0.000     0.000        0     0.000
     1300     0.111     0.125     0.452     1.156     0.507     1810     0.070
     1301     0.102     0.240     0.446     1.196     0.573    20896     0.021
     1302     0.096     0.386     0.444     1.201     0.615    53566     0.013
     1303     0.093     0.525     0.445     1.207     0.643    81502     0.010
     1304     0.091     0.674     0.445     1.207     0.655    77325     0.011
     1305     0.090     0.821     0.445     1.210     0.666    63765     0.012
     1306     0.089     0.969     0.445     1.213     0.673    42381     0.014
     1307     0.089     1.118     0.445     1.213     0.678    25143     0.019
     1308     0.087     1.265     0.446     1.224     0.692    13163     0.026
     1309     0.084     1.412     0.447     1.233     0.719     5386     0.041
     1310     0.149     0.107     0.451     1.310     0.429     9296     0.031
     1311     0.148     0.233     0.447     1.305     0.433    29657     0.017
     1312     0.146     0.378     0.447     1.306     0.437    47194     0.014
     1313     0.146     0.523     0.447     1.307     0.440    49912     0.013
     1314     0.146     0.672     0.447     1.306     0.439    40859     0.015
     1315     0.145     0.819     0.447     1.307     0.441    28806     0.018
     1316     0.142     0.963     0.447     1.316     0.454    14886     0.024
     1317     0.134     1.108     0.447     1.344     0.489     4777     0.043
     1318     0.127     1.247     0.448     1.409     0.538      822     0.104
     1319     0.123     1.368     0.452     1.473     0.582       18     0.703
     1320     0.207     0.106     0.450     1.381     0.326     5613     0.040
     1321     0.209     0.232     0.447     1.379     0.322    20118     0.021
     1322     0.207     0.374     0.448     1.380     0.325    23655     0.019
     1323     0.206     0.523     0.448     1.381     0.326    22258     0.020
     1324     0.204     0.669     0.447     1.383     0.330    15976     0.024
     1325     0.195     0.807     0.447     1.390     0.346     6251     0.038
     1326     0.186     0.927     0.445     1.441     0.375      458     0.139
     1327     0.000     0.000     0.000     0.000     0.000        0     0.000
     1328     0.000     0.000     0.000     0.000     0.000        0     0.000
     1329     0.000     0.000     0.000     0.000     0.000        0     0.000
     1330     0.265     0.112     0.446     1.427     0.261     2655     0.058
     1331     0.265     0.229     0.448     1.427     0.262    10644     0.029
     1332     0.263     0.370     0.449     1.428     0.264     9655     0.030
     1333     0.261     0.518     0.447     1.428     0.266     6662     0.037
     1334     0.250     0.639     0.443     1.436     0.278     1500     0.077
     1335     0.000     0.000     0.000     0.000     0.000        0     0.000
     1336     0.000     0.000     0.000     0.000     0.000        0     0.000
     1337     0.000     0.000     0.000     0.000     0.000        0     0.000
     1338     0.000     0.000     0.000     0.000     0.000        0     0.000
     1339     0.000     0.000     0.000     0.000     0.000        0     0.000
     1340     0.310     0.107     0.444     1.460     0.228      385     0.152
     1341     0.310     0.229     0.447     1.460     0.228     1395     0.080
     1342     0.309     0.368     0.448     1.460     0.229     1045     0.092
     1343     0.307     0.476     0.434     1.466     0.232      218     0.202
     1344     0.000     0.000     0.000     0.000     0.000        0     0.000
     1345     0.000     0.000     0.000     0.000     0.000        0     0.000
     1346     0.000     0.000     0.000     0.000     0.000        0     0.000
     1347     0.000     0.000     0.000     0.000     0.000        0     0.000
     1348     0.000     0.000     0.000     0.000     0.000        0     0.000
     1349     0.000     0.000     0.000     0.000     0.000        0     0.000
     1350     0.000     0.000     0.000     0.000     0.000        0     0.000
     1351     0.000     0.000     0.000     0.000     0.000        0     0.000
     1352     0.000     0.000     0.000     0.000     0.000        0     0.000
     1353     0.000     0.000     0.000     0.000     0.000        0     0.000
     1354     0.000     0.000     0.000     0.000     0.000        0     0.000
     1355     0.000     0.000     0.000     0.000     0.000        0     0.000
     1356     0.000     0.000     0.000     0.000     0.000        0     0.000
     1357     0.000     0.000     0.000     0.000     0.000        0     0.000
     1358     0.000     0.000     0.000     0.000     0.000        0     0.000
     1359     0.000     0.000     0.000     0.000     0.000        0     0.000
     1360     0.000     0.000     0.000     0.000     0.000        0     0.000
     1361     0.000     0.000     0.000     0.000     0.000        0     0.000
     1362     0.000     0.000     0.000     0.000     0.000        0     0.000
     1363     0.000     0.000     0.000     0.000     0.000        0     0.000
     1364     0.000     0.000     0.000     0.000     0.000        0     0.000
     1365     0.000     0.000     0.000     0.000     0.000        0     0.000
     1366     0.000     0.000     0.000     0.000     0.000        0     0.000
     1367     0.000     0.000     0.000     0.000     0.000        0     0.000
     1368     0.000     0.000     0.000     0.000     0.000        0     0.000
     1369     0.000     0.000     0.000     0.000     0.000        0     0.000
     1370     0.000     0.000     0.000     0.000     0.000        0     0.000
     1371     0.000     0.000     0.000     0.000     0.000        0     0.000
     1372     0.000     0.000     0.000     0.000     0.000        0     0.000
     1373     0.000     0.000     0.000     0.000     0.000        0     0.000
     1374     0.000     0.000     0.000     0.000     0.000        0     0.000
     1375     0.000     0.000     0.000     0.000     0.000        0     0.000
     1376     0.000     0.000     0.000     0.000     0.000        0     0.000
     1377     0.000     0.000     0.000     0.000     0.000        0     0.000
